bank,sub,clip_id,usa_payload_bytes,jp_payload_bytes,usa_frames,jp_frames,usa_seconds,jp_seconds,max_payload_bytes,max_seconds,max_subfile_bytes,max_region,max_header_patch,max_flag_patch
1482,0,886e,47488,48256,2968,3016,3.462667,3.518667,48256,3.518667,51200,jp,14:80;15:bc;3a:53;85:c3;91:bc;94:80;95:bc;b0:40;b1:40,bc41:01;bc51:07
1482,1,886f,20864,19968,1304,1248,1.521333,1.456000,20864,1.521333,24576,usa,,5151:01;5161:07
1482,2,8870,65408,68224,4088,4264,4.769333,4.974667,68224,4.974667,71680,jp,14:40;15:0a;16:01;3a:2a;85:0f;91:0a;92:01;94:40;95:0a;96:01;b0:40;b1:40,10a21:01;10a31:07
1482,3,8871,34560,38656,2160,2416,2.520000,2.818667,38656,2.818667,40960,jp,15:97;3a:29;85:9b;91:97;95:97;b0:40;b1:40,96c1:01;96d1:07
1482,4,8872,57600,66048,3600,4128,4.200000,4.816000,66048,4.816000,69632,jp,14:c0;15:01;16:01;39:82;3a:21;85:07;86:01;91:02;92:01;94:c0;95:01;96:01;b0:40;b1:40,10171:01;10181:07
1482,5,8873,20224,19584,1264,1224,1.474667,1.428000,20224,1.474667,22528,usa,,4e81:01;4e91:07
1482,6,8874,86528,88064,5408,5504,6.309333,6.421333,88064,6.421333,90112,jp,15:57;39:83;3a:01;85:5b;91:58;95:57;b0:40;b1:40,15771:01;15781:07
1483,0,8028,40320,41600,2520,2600,2.940000,3.033333,41600,3.033333,45056,jp,15:a2;3a:36;85:a7;91:a2;95:a2;b0:40;b1:40,a211:01;a221:07
1483,1,8029,62336,75008,3896,4688,4.545333,5.469333,75008,5.469333,77824,jp,14:c0;15:24;16:01;3a:48;85:2b;86:01;90:00;91:25;92:01;94:c0;95:24;96:01;b0:40;b1:40,12471:01;12481:07
1483,2,802a,49408,51200,3088,3200,3.602667,3.733333,51200,3.733333,53248,jp,14:00;15:c8;3a:60;85:cb;91:c8;94:00;95:c8;b0:40;b1:40,c7e1:01;c7f1:07
1483,3,802b,6912,6912,432,432,0.504000,0.504000,6912,0.504000,10240,jp,14:00;15:1b;39:1f;94:00;95:1b;b0:40;b1:40,1ad1:01;1ae1:07
1483,4,802c,75648,74368,4728,4648,5.516000,5.422667,75648,5.516000,77824,usa,,12721:01;12731:07
1483,5,802d,17024,22016,1064,1376,1.241333,1.605333,22016,1.605333,24576,jp,14:00;15:56;39:61;85:5b;90:00;91:56;94:00;95:56;b0:40;b1:40,55e1:01;55f1:07
1483,6,802e,77056,81408,4816,5088,5.618667,5.936000,81408,5.936000,83968,jp,14:00;15:3e;3a:64;85:43;91:3e;94:00;95:3e;b0:40;b1:40,13dc1:01;13dd1:07
1483,7,802f,27520,32000,1720,2000,2.006667,2.333333,32000,2.333333,34816,jp,14:00;15:7d;39:81;3a:0c;3b:7f;3c:b0;3d:00;3e:7e;3f:00;40:b0;41:00;42:7f;85:83;90:00;91:7d;94:00;95:7d;b0:40;b1:40,7cc1:01;7cd1:07
1483,8,8030,27520,53120,1720,3320,2.006667,3.873333,53120,3.873333,55296,jp,14:40;15:cf;39:81;3a:68;3b:7f;3c:b0;3d:00;3e:7e;3f:00;40:b0;41:00;42:7f;85:d3;91:cf;94:40;95:cf;b0:40;b1:40,cf11:01;cf21:07
1483,9,8031,35072,32896,2192,2056,2.557333,2.398667,35072,2.557333,38912,usa,,88e1:01;88f1:07
1483,10,8032,24704,21632,1544,1352,1.801333,1.577333,24704,1.801333,28672,usa,,6021:01;6031:07
1483,11,8033,21888,23680,1368,1480,1.596000,1.726667,23680,1.726667,26624,jp,14:40;15:5c;39:68;85:63;91:5c;94:40;95:5c;b0:40;b1:40,5c01:01;5c11:07
1483,12,8034,57600,60160,3600,3760,4.200000,4.386667,60160,4.386667,63488,jp,14:00;15:eb;39:82;3a:07;85:ef;91:eb;94:00;95:eb;b0:40;b1:40,eac1:01;ead1:07
1483,13,8035,75904,72576,4744,4536,5.534667,5.292000,75904,5.534667,79872,usa,,12851:01;12861:07
1483,14,8036,57856,52992,3616,3312,4.218667,3.864000,57856,4.218667,61440,usa,,e1c1:01;e1d1:07
1483,15,8037,56832,55552,3552,3472,4.144000,4.050667,56832,4.144000,59392,usa,,ddd1:01;dde1:07
1483,16,8038,39680,36608,2480,2288,2.893333,2.669333,39680,2.893333,43008,usa,,9aa1:01;9ab1:07
1483,17,8039,10624,9984,664,624,0.774667,0.728000,10624,0.774667,14336,usa,,2961:01;2971:07
1483,18,803a,39040,38784,2440,2424,2.846667,2.828000,39040,2.846667,43008,usa,,9851:01;9861:07
1483,19,803b,11776,11264,736,704,0.858667,0.821333,11776,0.858667,14336,usa,,2d81:01;2d91:07
1483,20,803c,28288,29312,1768,1832,2.062667,2.137333,29312,2.137333,32768,jp,15:72;39:81;3a:00;3b:7f;3c:b0;3d:00;3e:7e;3f:00;40:b0;41:00;42:7f;85:77;91:72;95:72;b0:40;b1:40,7241:01;7251:07
1483,21,803d,51968,64000,3248,4000,3.789333,4.666667,64000,4.666667,67584,jp,15:fa;39:82;3a:18;85:ff;91:fa;95:fa;b0:40;b1:40,f9c1:01;f9d1:07
1483,22,803e,44672,42752,2792,2672,3.257333,3.117333,44672,3.257333,47104,usa,,ae51:01;ae61:07
1483,23,803f,8960,10880,560,680,0.653333,0.793333,10880,0.793333,14336,jp,14:40;15:2a;39:30;85:2f;90:80;91:2a;94:40;95:2a;b0:40;b1:40,2a21:01;2a31:07
1483,24,8040,64256,61184,4016,3824,4.685333,4.461333,64256,4.685333,67584,usa,,fad1:01;fae1:07
1483,25,8041,56704,62080,3544,3880,4.134667,4.526667,62080,4.526667,65536,jp,15:f2;39:82;3a:0f;85:f7;91:f2;95:f2;b0:40;b1:40,f1f1:01;f201:07
1483,26,8042,85888,95744,5368,5984,6.262667,6.981333,95744,6.981333,98304,jp,14:c0;15:75;39:83;3a:22;85:7b;90:00;91:76;94:c0;95:75;b0:40;b1:40,17571:01;17581:07
1483,27,8043,29824,28416,1864,1776,2.174667,2.072000,29824,2.174667,32768,usa,,7411:01;7421:07
1483,28,8044,26624,25984,1664,1624,1.941333,1.894667,26624,1.941333,28672,usa,,6771:01;6781:07
1483,29,8045,81664,86528,5104,5408,5.954667,6.309333,86528,6.309333,90112,jp,15:51;3a:7a;85:57;91:52;95:51;b0:40;b1:40,15181:01;15191:07
1483,30,8046,19968,21504,1248,1344,1.456000,1.568000,21504,1.568000,24576,jp,14:00;15:54;39:5e;85:57;91:54;94:00;95:54;b0:40;b1:40,53c1:01;53d1:07
1483,31,8047,39808,43520,2488,2720,2.902667,3.173333,43520,3.173333,47104,jp,14:c0;15:a9;3a:3e;85:af;90:00;91:aa;94:c0;95:a9;b0:40;b1:40,a971:01;a981:07
1483,32,8048,42240,40448,2640,2528,3.080000,2.949333,42240,3.080000,45056,usa,,a4a1:01;a4b1:07
1483,33,8049,13056,10368,816,648,0.952000,0.756000,13056,0.952000,16384,usa,,32e1:01;32f1:07
1483,34,804a,58496,58880,3656,3680,4.265333,4.293333,58880,4.293333,61440,jp,14:c0;15:e5;3a:01;90:00;91:e6;94:c0;95:e5;b0:40;b1:40,e5a1:01;e5b1:07
1483,35,804b,33152,28032,2072,1752,2.417333,2.044000,33152,2.417333,36864,usa,,8151:01;8161:07
1484,0,805a,71680,76416,4480,4776,5.226667,5.572000,76416,5.572000,79872,jp,14:40;15:2a;3a:4e;85:2f;90:80;91:2a;94:40;95:2a;b0:40;b1:40,12a11:01;12a21:07
1484,1,805b,71296,75264,4456,4704,5.198667,5.488000,75264,5.488000,77824,jp,14:00;15:26;3a:49;85:2b;90:00;91:26;94:00;95:26;b0:40;b1:40,125b1:01;125c1:07
1484,2,805c,44032,45568,2752,2848,3.210667,3.322667,45568,3.322667,49152,jp,15:b2;3a:47;85:b7;91:b2;95:b2;b0:40;b1:40,b1c1:01;b1d1:07
1484,3,805d,20224,19456,1264,1216,1.474667,1.418667,20224,1.474667,22528,usa,,4ea1:01;4eb1:07
1484,4,805e,31744,28672,1984,1792,2.314667,2.090667,31744,2.314667,34816,usa,,7b91:01;7ba1:07
1484,5,805f,33408,36096,2088,2256,2.436000,2.632000,36096,2.632000,38912,jp,14:00;15:8d;3a:1e;85:93;90:00;91:8d;94:00;95:8d;b0:40;b1:40,8ce1:01;8cf1:07
1484,6,8060,64512,62464,4032,3904,4.704000,4.554667,64512,4.704000,67584,usa,,fb71:01;fb81:07
1484,7,8061,44544,50432,2784,3152,3.248000,3.677333,50432,3.677333,53248,jp,14:00;15:c5;3a:5d;85:cb;91:c5;94:00;95:c5;b0:40;b1:40,c4b1:01;c4c1:07
1484,8,8063,56192,57600,3512,3600,4.097333,4.200000,57600,4.200000,61440,jp,14:c0;15:e0;3a:7c;85:e7;90:00;91:e1;94:c0;95:e0;b0:40;b1:40,e0a1:01;e0b1:07
1484,9,8064,22784,26880,1424,1680,1.661333,1.960000,26880,1.960000,30720,jp,15:68;39:76;85:6f;91:69;95:68;b0:40;b1:40,68a1:01;68b1:07
1484,10,8066,21376,17792,1336,1112,1.558667,1.297333,21376,1.558667,24576,usa,,5341:01;5351:07
1484,11,8067,55552,58112,3472,3632,4.050667,4.237333,58112,4.237333,61440,jp,14:00;15:e3;3a:7e;85:e7;91:e3;94:00;95:e3;b0:40;b1:40,e2b1:01;e2c1:07
1484,12,8068,16256,17920,1016,1120,1.185333,1.306667,17920,1.306667,20480,jp,14:00;15:46;39:4f;85:4b;90:00;91:46;94:00;95:46;b0:40;b1:40,45c1:01;45d1:07
1484,13,8069,54016,48512,3376,3032,3.938667,3.537333,54016,3.938667,57344,usa,,d2d1:01;d2e1:07
1484,14,806a,36352,34304,2272,2144,2.650667,2.501333,36352,2.650667,38912,usa,,8de1:01;8df1:07
1484,15,806b,38784,34688,2424,2168,2.828000,2.529333,38784,2.828000,40960,usa,,9751:01;9761:07
1484,16,806c,15232,16128,952,1008,1.110667,1.176000,16128,1.176000,18432,jp,14:00;15:3f;39:47;85:43;90:00;91:3f;94:00;95:3f;b0:40;b1:40,3ed1:01;3ee1:07
1484,17,806d,28928,28032,1808,1752,2.109333,2.044000,28928,2.109333,32768,usa,,70a1:01;70b1:07
1484,18,8070,6016,11392,376,712,0.438667,0.830667,11392,0.830667,14336,jp,14:40;15:2c;39:32;85:33;91:2c;94:40;95:2c;b0:40;b1:40,2c11:01;2c21:07
1484,19,8071,13056,13696,816,856,0.952000,0.998667,13696,0.998667,16384,jp,14:80;15:35;39:3c;85:3b;90:80;91:35;94:80;95:35;b0:40;b1:40,3541:01;3551:07
1484,20,8072,11136,12032,696,752,0.812000,0.877333,12032,0.877333,14336,jp,14:00;15:2f;39:35;85:33;90:00;91:2f;94:00;95:2f;b0:40;b1:40,2ec1:01;2ed1:07
1484,21,8073,63872,60160,3992,3760,4.657333,4.386667,63872,4.657333,67584,usa,,f961:01;f971:07
1484,22,8074,38912,39168,2432,2448,2.837333,2.856000,39168,2.856000,43008,jp,14:c0;3a:2b;85:9f;91:99;94:c0;b0:40;b1:40,98a1:01;98b1:07
1484,23,8075,20480,23552,1280,1472,1.493333,1.717333,23552,1.717333,26624,jp,15:5c;39:67;85:5f;91:5c;95:5c;b0:40;b1:40,5bd1:01;5be1:07
1484,24,8076,13056,17408,816,1088,0.952000,1.269333,17408,1.269333,20480,jp,14:00;15:44;39:4c;85:47;91:44;94:00;95:44;b0:40;b1:40,43b1:01;43c1:07
1484,25,8077,38528,45056,2408,2816,2.809333,3.285333,45056,3.285333,47104,jp,14:00;15:b0;3a:45;85:b3;90:00;91:b0;94:00;95:b0;b0:40;b1:40,afc1:01;afd1:07
1484,26,8080,47104,56448,2944,3528,3.434667,4.116000,56448,4.116000,59392,jp,14:40;15:dc;3a:77;85:e3;90:80;91:dc;94:40;95:dc;b0:40;b1:40,dc21:01;dc31:07
1484,27,8081,7680,7296,480,456,0.560000,0.532000,7680,0.560000,10240,usa,,1da1:01;1db1:07
1484,28,8082,70272,66048,4392,4128,5.124000,4.816000,70272,5.124000,73728,usa,,11251:01;11261:07
1484,29,8083,20864,25344,1304,1584,1.521333,1.848000,25344,1.848000,28672,jp,14:00;15:63;39:6f;85:67;90:00;91:63;94:00;95:63;b0:40;b1:40,62d1:01;62e1:07
1484,30,8084,63360,62464,3960,3904,4.620000,4.554667,63360,4.620000,65536,usa,,f6f1:01;f701:07
1484,31,8085,56064,55296,3504,3456,4.088000,4.032000,56064,4.088000,59392,usa,,dab1:01;dac1:07
1484,32,8086,11136,11136,696,696,0.812000,0.812000,11136,0.812000,14336,usa,,2b01:01;2b11:07
1484,33,8087,14976,15872,936,992,1.092000,1.157333,15872,1.157333,18432,jp,14:00;15:3e;39:46;85:43;90:00;91:3e;94:00;95:3e;b0:40;b1:40,3db1:01;3dc1:07
1484,34,8088,60672,56576,3792,3536,4.424000,4.125333,60672,4.424000,63488,usa,,eca1:01;ecb1:07
1484,35,8089,8192,14336,512,896,0.597333,1.045333,14336,1.045333,16384,jp,14:00;15:38;39:3f;85:3b;91:38;94:00;95:38;b0:40;b1:40,37b1:01;37c1:07
1485,0,8094,45952,49024,2872,3064,3.350667,3.574667,49024,3.574667,51200,jp,14:80;15:bf;3a:56;85:c3;91:bf;94:80;95:bf;b0:40;b1:40,bf31:01;bf41:07
1485,1,8095,32768,26752,2048,1672,2.389333,1.950667,32768,2.389333,34816,usa,,7fa1:01;7fb1:07
1485,2,8096,76416,77696,4776,4856,5.572000,5.665333,77696,5.665333,79872,jp,15:2f;3a:54;85:33;91:2f;95:2f;b0:40;b1:40,12f11:01;12f21:07
1485,3,8097,65664,68992,4104,4312,4.788000,5.030667,68992,5.030667,71680,jp,14:80;15:0d;3a:2e;85:13;91:0d;94:80;95:0d;b0:40;b1:40,10d51:01;10d61:07
1485,4,8098,22784,27136,1424,1696,1.661333,1.978667,27136,1.978667,30720,jp,15:6a;39:77;85:6f;91:6a;95:6a;b0:40;b1:40,69e1:01;69f1:07
1485,5,8099,32128,33536,2008,2096,2.342667,2.445333,33536,2.445333,36864,jp,14:00;15:83;3a:13;85:87;90:00;91:83;94:00;95:83;b0:40;b1:40,82c1:01;82d1:07
1485,6,809a,50816,56448,3176,3528,3.705333,4.116000,56448,4.116000,59392,jp,14:80;15:dc;3a:77;85:e3;91:dc;94:80;95:dc;b0:40;b1:40,dc41:01;dc51:07
1485,7,809b,42624,38656,2664,2416,3.108000,2.818667,42624,3.108000,45056,usa,,a621:01;a631:07
1485,8,809c,21760,20736,1360,1296,1.586667,1.512000,21760,1.586667,24576,usa,,5491:01;54a1:07
1485,9,809d,66304,73600,4144,4600,4.834667,5.366667,73600,5.366667,75776,jp,14:80;15:1f;3a:42;85:23;90:80;91:1f;94:80;95:1f;b0:40;b1:40,11f61:01;11f71:07
1485,10,809e,64128,63232,4008,3952,4.676000,4.610667,64128,4.676000,67584,usa,,f9f1:01;fa01:07
1485,11,809f,7168,4864,448,304,0.522667,0.354667,7168,0.522667,10240,usa,,1be1:01;1bf1:07
1485,12,80a0,39040,36608,2440,2288,2.846667,2.669333,39040,2.846667,43008,usa,,9821:01;9831:07
1485,13,80a1,15360,16896,960,1056,1.120000,1.232000,16896,1.232000,20480,jp,14:c0;15:41;39:4a;85:47;91:42;94:c0;95:41;b0:40;b1:40,41a1:01;41b1:07
1485,14,80a2,25728,28160,1608,1760,1.876000,2.053333,28160,2.053333,30720,jp,14:c0;15:6d;39:7b;85:73;90:00;91:6e;94:c0;95:6d;b0:40;b1:40,6d71:01;6d81:07
1486,0,80b2,28544,28160,1784,1760,2.081333,2.053333,28544,2.081333,30720,usa,,6f21:01;6f31:07
1486,1,80b3,56064,55680,3504,3480,4.088000,4.060000,56064,4.088000,59392,usa,,dad1:01;dae1:07
1486,2,80b4,21632,20096,1352,1256,1.577333,1.465333,21632,1.577333,24576,usa,,53f1:01;5401:07
1486,3,80b5,64128,65920,4008,4120,4.676000,4.806667,65920,4.806667,69632,jp,14:40;15:01;16:01;3a:20;85:07;86:01;91:01;92:01;94:40;95:01;96:01;b0:40;b1:40,10111:01;10121:07
1486,4,80b6,27008,29056,1688,1816,1.969333,2.118667,29056,2.118667,32768,jp,15:71;39:7f;85:77;91:71;95:71;b0:40;b1:40,70f1:01;7101:07
1486,5,80b7,13696,11392,856,712,0.998667,0.830667,13696,0.998667,16384,usa,,3541:01;3551:07
1486,6,80b8,10624,13952,664,872,0.774667,1.017333,13952,1.017333,16384,jp,15:36;39:3d;85:3b;91:36;95:36;b0:40;b1:40,3631:01;3641:07
1486,7,80b9,70144,77696,4384,4856,5.114667,5.665333,77696,5.665333,79872,jp,14:80;15:2f;3a:54;85:33;90:80;91:2f;94:80;95:2f;b0:40;b1:40,12f31:01;12f41:07
1486,8,80ba,18432,22272,1152,1392,1.344000,1.624000,22272,1.624000,24576,jp,15:57;39:62;85:5b;91:57;95:57;b0:40;b1:40,56d1:01;56e1:07
1486,9,80bb,36736,42624,2296,2664,2.678667,3.108000,42624,3.108000,45056,jp,14:40;15:a6;3a:3a;85:ab;91:a6;94:40;95:a6;b0:40;b1:40,a621:01;a631:07
1486,10,80bc,9856,13184,616,824,0.718667,0.961333,13184,0.961333,16384,jp,15:33;39:3a;85:37;91:33;95:33;b0:40;b1:40,3301:01;3311:07
1486,11,80bd,32128,35584,2008,2224,2.342667,2.594667,35584,2.594667,38912,jp,14:00;15:8b;3a:1c;85:8f;90:00;91:8b;94:00;95:8b;b0:40;b1:40,8ac1:01;8ad1:07
1486,12,80be,29056,29696,1816,1856,2.118667,2.165333,29696,2.165333,32768,jp,14:c0;15:73;39:81;3a:02;3b:7f;3c:b0;3d:00;3e:7e;3f:00;40:b0;41:00;42:7f;90:00;91:74;94:c0;95:73;b0:40;b1:40,73a1:01;73b1:07
1486,13,80bf,41856,40064,2616,2504,3.052000,2.921333,41856,3.052000,45056,usa,,a331:01;a341:07
1487,0,80d0,37248,35968,2328,2248,2.716000,2.622667,37248,2.716000,40960,usa,,9101:01;9111:07
1487,1,80d1,36992,35456,2312,2216,2.697333,2.585333,36992,2.697333,40960,usa,,9061:01;9071:07
1487,2,80d2,49792,52992,3112,3312,3.630667,3.864000,52992,3.864000,55296,jp,14:00;15:cf;3a:68;85:d3;90:00;91:cf;94:00;95:cf;b0:40;b1:40,cee1:01;cef1:07
1487,3,80d3,36736,43520,2296,2720,2.678667,3.173333,43520,3.173333,47104,jp,14:c0;15:a9;3a:3e;85:af;90:00;91:aa;94:c0;95:a9;b0:40;b1:40,a9a1:01;a9b1:07
1487,4,80d4,74496,73216,4656,4576,5.432000,5.338667,74496,5.432000,77824,usa,,122d1:01;122e1:07
1487,5,80d5,60032,64640,3752,4040,4.377333,4.713333,64640,4.713333,67584,jp,15:fc;3a:1b;85:03;86:01;91:fc;95:fc;b0:40;b1:40,fc41:01;fc51:07
1487,6,80d6,29696,36608,1856,2288,2.165333,2.669333,36608,2.669333,38912,jp,15:8e;3a:20;85:93;91:8f;95:8e;b0:40;b1:40,8e71:01;8e81:07
1487,7,80d7,13184,12672,824,792,0.961333,0.924000,13184,0.961333,16384,usa,,3301:01;3311:07
1487,8,80d8,9216,9216,576,576,0.672000,0.672000,9216,0.672000,12288,usa,,23e1:01;23f1:07
1487,9,80d9,54784,51712,3424,3232,3.994667,3.770667,54784,3.994667,57344,usa,,d5a1:01;d5b1:07
1487,10,80da,8960,12928,560,808,0.653333,0.942667,12928,0.942667,16384,jp,14:80;15:32;39:39;85:37;90:80;91:32;94:80;95:32;b0:40;b1:40,3241:01;3251:07
1488,0,80ee,23680,20864,1480,1304,1.726667,1.521333,23680,1.726667,26624,usa,,5c31:01;5c41:07
1488,1,80ef,64768,59520,4048,3720,4.722667,4.340000,64768,4.722667,67584,usa,,fce1:01;fcf1:07
1488,2,80f0,36224,30464,2264,1904,2.641333,2.221333,36224,2.641333,38912,usa,,8d31:01;8d41:07
1488,3,80f1,31360,33536,1960,2096,2.286667,2.445333,33536,2.445333,36864,jp,14:c0;15:82;3a:12;85:87;90:00;91:83;94:c0;95:82;b0:40;b1:40,8271:01;8281:07
1488,4,80f2,20224,21120,1264,1320,1.474667,1.540000,21120,1.540000,24576,jp,14:80;15:52;39:5d;85:57;90:80;91:52;94:80;95:52;b0:40;b1:40,5261:01;5271:07
1488,5,80f3,18560,25344,1160,1584,1.353333,1.848000,25344,1.848000,28672,jp,14:00;15:63;39:6f;85:67;90:00;91:63;94:00;95:63;b0:40;b1:40,62d1:01;62e1:07
1488,6,80f4,30464,33280,1904,2080,2.221333,2.426667,33280,2.426667,36864,jp,15:82;3a:12;85:87;91:82;95:82;b0:40;b1:40,81c1:01;81d1:07
1488,7,80f5,25600,25088,1600,1568,1.866667,1.829333,25600,1.866667,28672,usa,,63e1:01;63f1:07
1488,8,80f6,18304,16128,1144,1008,1.334667,1.176000,18304,1.334667,20480,usa,,4761:01;4771:07
1488,9,80f7,8960,5504,560,344,0.653333,0.401333,8960,0.653333,12288,usa,,2271:01;2281:07
1488,10,8100,114048,133632,7128,8352,8.316000,9.744000,133632,9.744000,137216,jp,14:c0;15:09;16:02;39:84;3a:48;85:0f;86:02;90:00;91:0a;92:02;94:c0;95:09;96:02;b0:40;b1:40,20971:01;20981:07
1488,11,8101,16256,17280,1016,1080,1.185333,1.260000,17280,1.260000,20480,jp,15:43;39:4c;85:47;91:43;95:43;b0:40;b1:40,4311:01;4321:07
1488,12,8102,50304,57728,3144,3608,3.668000,4.209333,57728,4.209333,61440,jp,15:e1;3a:7c;85:e7;91:e1;95:e1;b0:40;b1:40,e131:01;e141:07
1488,13,8103,23424,21504,1464,1344,1.708000,1.568000,23424,1.708000,26624,usa,,5b31:01;5b41:07
1488,14,8104,60672,65920,3792,4120,4.424000,4.806667,65920,4.806667,69632,jp,14:80;15:01;16:01;3a:20;85:07;86:01;90:80;91:01;92:01;94:80;95:01;96:01;b0:40;b1:40,10161:01;10171:07
1488,15,8105,25344,22272,1584,1392,1.848000,1.624000,25344,1.848000,28672,usa,,62a1:01;62b1:07
1488,16,8106,25600,24704,1600,1544,1.866667,1.801333,25600,1.866667,28672,usa,,63c1:01;63d1:07
1488,17,8107,15744,15104,984,944,1.148000,1.101333,15744,1.148000,18432,usa,,3d01:01;3d11:07
1488,18,8108,61184,69888,3824,4368,4.461333,5.096000,69888,5.096000,73728,jp,14:00;15:11;16:01;3a:32;85:17;86:01;91:11;92:01;94:00;95:11;96:01;b0:40;b1:40,110b1:01;110c1:07
1488,19,8109,41856,46080,2616,2880,3.052000,3.360000,46080,3.360000,49152,jp,14:c0;15:b3;3a:4a;85:b7;90:00;91:b4;94:c0;95:b3;b0:40;b1:40,b3a1:01;b3b1:07
1488,20,810a,59648,63232,3728,3952,4.349333,4.610667,63232,4.610667,65536,jp,14:c0;15:f6;3a:14;85:fb;91:f7;94:c0;95:f6;b0:40;b1:40,f681:01;f691:07
1488,21,810b,22144,24320,1384,1520,1.614667,1.773333,24320,1.773333,26624,jp,14:00;15:5f;39:6b;85:63;90:00;91:5f;94:00;95:5f;b0:40;b1:40,5eb1:01;5ec1:07
1489,0,811e,17664,11392,1104,712,1.288000,0.830667,17664,1.288000,20480,usa,,4491:01;44a1:07
1489,1,811f,19456,20864,1216,1304,1.418667,1.521333,20864,1.521333,24576,jp,14:40;15:51;3d:5b;85:57;90:80;91:51;94:40;95:51;b0:40;b1:40,50f1:01;5101:07
1489,2,8120,63488,71936,3968,4496,4.629333,5.245333,71936,5.245333,75776,jp,15:18;16:01;3e:3a;85:1f;86:01;91:19;92:01;95:18;96:01;b0:40;b1:40,11891:01;118a1:07
1489,3,8121,17408,16384,1088,1024,1.269333,1.194667,17408,1.269333,20480,usa,,4391:01;43a1:07
1489,4,8122,66048,76160,4128,4760,4.816000,5.553333,76160,5.553333,79872,jp,14:40;15:29;3e:4d;85:2f;90:80;91:29;94:40;95:29;b0:40;b1:40,128f1:01;12901:07
1489,5,8123,14720,15744,920,984,1.073333,1.148000,15744,1.148000,18432,jp,15:3d;3d:45;85:43;91:3d;95:3d;b0:40;b1:40,3cf1:01;3d01:07
1489,6,8124,84736,97536,5296,6096,6.178667,7.112000,97536,7.112000,100352,jp,14:c0;15:7c;3d:83;3e:2a;85:83;91:7d;94:c0;95:7c;b0:40;b1:40,17c71:01;17c81:07
1489,7,8125,32640,37632,2040,2352,2.380000,2.744000,37632,2.744000,40960,jp,14:c0;15:92;3e:25;85:97;90:00;91:93;94:c0;95:92;b0:40;b1:40,92a1:01;92b1:07
1489,8,8126,14976,14336,936,896,1.092000,1.045333,14976,1.092000,18432,usa,,3a51:01;3a61:07
1489,9,8127,46976,52608,2936,3288,3.425333,3.836000,52608,3.836000,55296,jp,14:40;15:cd;3a:66;85:d3;91:cd;94:40;95:cd;b0:40;b1:40,cd11:01;cd21:07
1489,10,8128,71040,76160,4440,4760,5.180000,5.553333,76160,5.553333,79872,jp,14:80;15:29;3a:4d;85:2f;91:29;94:80;95:29;b0:40;b1:40,12961:01;12971:07
1489,11,8129,90368,98304,5648,6144,6.589333,7.168000,98304,7.168000,100352,jp,14:c0;15:7f;3a:2e;85:83;91:80;94:c0;95:7f;b0:40;b1:40,17fa1:01;17fb1:07
1489,12,812a,70144,65152,4384,4072,5.114667,4.750667,70144,5.114667,73728,usa,,111d1:01;111e1:07
1489,13,812b,67968,69760,4248,4360,4.956000,5.086667,69760,5.086667,73728,jp,14:40;15:10;3a:31;85:17;91:10;94:40;95:10;b0:40;b1:40,10ff1:01;11001:07
1489,14,812c,60416,66560,3776,4160,4.405333,4.853333,66560,4.853333,69632,jp,15:04;16:01;3a:23;85:07;86:01;91:04;92:01;95:04;96:01;b0:40;b1:40,103b1:01;103c1:07
1489,15,812d,65024,67584,4064,4224,4.741333,4.928000,67584,4.928000,69632,jp,15:08;16:01;3a:28;85:0b;91:08;92:01;95:08;96:01;b0:40;b1:40,107e1:01;107f1:07
1490,0,813d,17792,16640,1112,1040,1.297333,1.213333,17792,1.297333,20480,usa,,4501:01;4511:07
1490,1,8140,8704,10240,544,640,0.634667,0.746667,10240,0.746667,12288,jp,15:28;3d:2d;85:2b;91:28;95:28;b0:40;b1:40,27d1:01;27e1:07
1490,2,8141,58752,61568,3672,3848,4.284000,4.489333,61568,4.489333,65536,jp,14:80;15:f0;3e:0d;85:f7;91:f0;94:80;95:f0;b0:40;b1:40,f041:01;f051:07
1490,3,8142,28288,31616,1768,1976,2.062667,2.305333,31616,2.305333,34816,jp,15:7b;3d:81;3e:0a;3f:7f;40:b0;41:00;42:7e;43:00;44:b0;45:00;46:7f;85:7f;91:7b;95:7b;b0:40;b1:40,7af1:01;7b01:07
1490,4,8143,17920,21760,1120,1360,1.306667,1.586667,21760,1.586667,24576,jp,14:c0;15:54;3d:5f;85:5b;91:55;94:c0;95:54;b0:40;b1:40,5481:01;5491:07
1490,5,8144,11904,17408,744,1088,0.868000,1.269333,17408,1.269333,20480,jp,14:00;15:44;3d:4c;85:47;90:00;91:44;94:00;95:44;b0:40;b1:40,43d1:01;43e1:07
1490,6,8145,9600,9856,600,616,0.700000,0.718667,9856,0.718667,12288,jp,15:26;3d:2b;91:26;95:26;b0:40;b1:40,2631:01;2641:07
1490,7,8146,10240,11520,640,720,0.746667,0.840000,11520,0.840000,14336,jp,15:2c;3d:32;85:33;91:2d;95:2c;b0:40;b1:40,2c71:01;2c81:07
1490,8,8148,29184,34944,1824,2184,2.128000,2.548000,34944,2.548000,38912,jp,14:80;15:88;3e:19;85:8f;90:80;91:88;94:80;95:88;b0:40;b1:40,8831:01;8841:07
1490,9,8149,63616,69376,3976,4336,4.638667,5.058667,69376,5.058667,71680,jp,14:00;15:0f;16:01;3e:2f;85:13;86:01;90:00;91:0f;92:01;94:00;95:0f;96:01;b0:40;b1:40,10ed1:01;10ee1:07
